,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
3351,Rio das Pedras,Pública,5.7,6.2,6.5,6.0,6.6,"5,8","6,1","6,3","6,6",1º ao 5º ano,3544004.0,False,True,False
3352,Rio das Pedras,Pública,4.4,5.0,5.0,5.6,5.4,5,"5,2","5,5","5,7",6º ao 9º ano,3544004.0,True,False,False
3355,Rio Grande da Serra,Estadual,6.2,6.7,6.6,6.0,6.3,"5,6","5,8","6,1","6,3",1º ao 5º ano,3544103.0,False,True,False
3356,Rio Grande da Serra,Estadual,4.6,5.0,5.0,5.4,5.1,"5,2","5,5","5,7","5,9",6º ao 9º ano,3544103.0,True,False,False
3357,Rio Grande da Serra,Pública,6.2,6.7,6.6,6.0,6.3,"5,6","5,8","6,1","6,3",1º ao 5º ano,3544103.0,False,True,False
3358,Rio Grande da Serra,Pública,4.6,5.0,5.0,5.4,5.1,"5,2","5,5","5,7","5,9",6º ao 9º ano,3544103.0,True,False,False
3364,Riolândia,Municipal,6.2,6.7,6.7,6.1,6.2,"5,5","5,7",6,"6,3",1º ao 5º ano,3544202.0,False,True,False
3365,Riolândia,Pública,6.2,6.7,6.7,6.1,6.2,"5,2","5,5","5,8",6,1º ao 5º ano,3544202.0,False,True,False
3366,Riolândia,Pública,4.3,4.7,5.3,5.5,5.1,"5,6","5,8","6,1","6,3",6º ao 9º ano,3544202.0,True,False,False
3370,Riversul,Estadual,5.1,5.3,5.5,4.9,5.1,6,"6,2","6,4","6,6",6º ao 9º ano,3543501.0,True,False,False
3371,Riversul,Municipal,6.0,6.3,6.3,5.9,6.3,"5,9","6,2","6,4","6,6",1º ao 5º ano,3543501.0,False,True,False
3372,Riversul,Pública,6.0,6.3,6.3,5.9,6.3,"5,9","6,2","6,4","6,6",1º ao 5º ano,3543501.0,False,True,False
3373,Riversul,Pública,5.1,5.3,5.5,4.9,5.1,6,"6,2","6,4","6,6",6º ao 9º ano,3543501.0,True,False,False
3376,Rosana,Estadual,6.5,6.3,6.6,6.4,6.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3544251.0,False,True,False
3377,Rosana,Estadual,4.8,4.6,4.9,5.4,5.3,"5,1","5,4","5,6","5,8",6º ao 9º ano,3544251.0,True,False,False
3378,Rosana,Municipal,6.1,6.9,7.1,6.5,6.8,6,"6,3","6,5","6,8",1º ao 5º ano,3544251.0,False,True,False
3379,Rosana,Pública,6.3,6.8,6.9,6.5,6.8,6,"6,2","6,5","6,7",1º ao 5º ano,3544251.0,False,True,False
3380,Rosana,Pública,4.8,4.6,4.9,5.4,5.3,"5,1","5,4","5,6","5,8",6º ao 9º ano,3544251.0,True,False,False
3384,Roseira,Municipal,4.7,5.3,5.7,5.5,5.3,"4,8","5,1","5,3","5,5",6º ao 9º ano,3544301.0,True,False,False
3385,Roseira,Municipal,6.2,6.7,6.4,6.2,6.3,"5,9","6,1","6,4","6,6",1º ao 5º ano,3544301.0,False,True,False
3386,Roseira,Pública,6.2,6.7,6.4,6.2,6.3,"5,9","6,1","6,4","6,6",1º ao 5º ano,3544301.0,False,True,False
3387,Roseira,Pública,4.7,5.3,5.7,5.5,5.3,"4,8","5,1","5,3","5,6",6º ao 9º ano,3544301.0,True,False,False
3391,Rubiácea,Estadual,5.5,5.3,5.5,5.4,5.7,"5,6","5,8",6,"6,3",6º ao 9º ano,3544400.0,True,False,False
3392,Rubiácea,Municipal,6.3,6.9,6.3,6.9,6.6,"6,8",7,"7,1","7,3",1º ao 5º ano,3544400.0,False,True,False
