,NOME,FASE,TURMA,INSTITUICAO_ENSINO_ALUNO,SINALIZADOR_INGRESSANTE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,PONTO_VIRADA,IPV,IAN,NIVEL_IDEAL,DEFASAGEM,ANO
938,ALUNO-939,3.0,D,Escola Pública,Ingressante,Ágata,6.469,9.2,5.0,4.4,7.4,9.1,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,6.2,5.0,Nível 4 (9o ano),-1.0,2021
939,ALUNO-940,1.0,C,Escola Pública,Veterano,Ágata,6.557,8.5,8.3,7.5,2.9,7.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.1,5.0,Nível 2 (5o e 6o ano),-1.0,2021
943,ALUNO-944,3.0,F,Escola Pública,Veterano,Quartzo,4.625,9.2,4.7,5.6,1.3,7.3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,3.6,5.0,Nível 5 (1o EM),-2.0,2021
944,ALUNO-945,3.0,D,Escola Pública,Ingressante,Ametista,7.747,8.8,6.4,7.5,9.0,8.3,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Não avaliado,Não,8.6,5.0,Nível 5 (1o EM),-2.0,2021
945,ALUNO-946,3.0,M,Escola Pública,Ingressante,Ametista,7.542,7.9,6.1,7.5,7.1,7.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,8.1,10.0,Nível 3 (7o e 8o ano),0.0,2021
946,ALUNO-947,1.0,F,Escola Pública,Ingressante,Ametista,7.31,8.5,8.8,7.5,5.1,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.1,5.0,Nível 2 (5o e 6o ano),-1.0,2021
947,ALUNO-948,3.0,C,Escola Pública,Veterano,Ametista,6.908,8.3,6.4,7.5,6.2,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.8,5.0,Nível 4 (9o ano),-1.0,2021
950,ALUNO-951,6.0,A,Rede Decisão,Veterano,Ametista,7.233,8.3,7.2,7.5,7.0,8.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,7.6,5.0,Nível 7 (3o EM),-1.0,2021
955,ALUNO-956,0.0,P,Escola Pública,Ingressante,Ametista,7.604,9.0,7.5,7.5,5.9,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.6,10.0,ALFA  (2o e 3o ano),0.0,2021
956,ALUNO-957,2.0,N,Rede Decisão,Veterano,Ametista,7.44,7.5,7.5,7.5,5.3,8.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.9,10.0,Nível 2 (5o e 6o ano),0.0,2021
957,ALUNO-958,4.0,G,Rede Decisão,Ingressante,Ametista,7.494,7.1,8.1,6.9,7.6,8.1,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,8.3,5.0,Nível 6 (2o EM),-2.0,2021
958,ALUNO-959,1.0,N,Escola Pública,Ingressante,Ametista,8.064,9.0,10.0,7.5,6.1,8.1,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.4,5.0,Nível 2 (5o e 6o ano),-1.0,2021
960,ALUNO-961,2.0,N,Rede Decisão,Veterano,Ametista,7.261,9.5,7.5,6.3,4.2,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.9,10.0,Nível 2 (5o e 6o ano),0.0,2021
