;NOME;INSTITUICAO_ENSINO_ALUNO;IDADE_ALUNO;ANOS_PM;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO;FASE;TURMA
82;ALUNO-83;Rede Decisão/União;14;4;Sim;8.155003333333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;9.4;5.625;5.333333333333333;8.958333333333332;9.166676666666666;10.0;2020;4;B
83;ALUNO-84;Escola Pública;8;0;Não;8.750001000000001;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;10.0;10.0;8.5;7.5;6.999995;10.0;2020;0;B
84;ALUNO-85;Escola Pública;9;1;Não;7.263334;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;9.9;2.5;10.0;2.5;6.66666;5.0;2020;0;D
85;ALUNO-86;Escola Pública;17;1;Não;5.688333833333334;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;4.9;7.5;3.6666666666666665;7.5;5.7083325;5.0;2020;6;A
86;ALUNO-87;Rede Decisão/União;14;4;Sim;8.188612666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.2;5.625;6.666666666666667;8.749999999999998;8.722226666666666;10.0;2020;4;L
87;ALUNO-88;Rede Decisão/União;11;2;Sim;9.04042;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.4;7.5;9.5;5.9375;9.58334;10.0;2020;2;D
88;ALUNO-89;Escola Pública;9;1;Não;7.937502;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;10.0;7.5;7.5;6.875;7.5;5.0;2020;0;G
89;ALUNO-90;Escola Pública;14;1;Não;7.073542833333333;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;5.8;7.5;7.666666666666667;7.96875;7.5000025;5.0;2020;3;M
90;ALUNO-91;Escola Pública;10;2;Não;6.846668;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;6.4;6.875;4.5;5.625;7.58333;10.0;2020;2;H
93;ALUNO-94;Escola Pública;12;1;Não;6.7552085;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.08333;6.0;7.5;4.0;7.96875;7.5000025;10.0;2020;3;B
94;ALUNO-95;Escola Pública;15;1;Não;7.336876333333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.58335;8.2;7.5;6.666666666666667;7.96875;6.791665;5.0;2020;3;A
95;ALUNO-96;Escola Pública;18;1;Sim;6.432500999999999;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;6.1;6.875;3.0;7.5;8.791664999999998;5.0;2020;7;A
96;ALUNO-97;Escola Pública;12;2;Não;7.393752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.0;7.5;6.0;8.4375;7.75;5.0;2020;2;D
